F 74 L0.164,0.151,0.075,0.025,0.014,0.007,0.005,0.003
F 75 L0.219,0.087,0.059,0.026,0.015,0.005,0.002,0.001
F 76 L0.226,0.108,0.075,0.029,0.018,0.008,0.004,0.002
F 77 L0.201,0.256,0.090,0.029,0.014,0.010,0.010,0.006
F 78 L0.158,0.276,0.085,0.020,0.010,0.010,0.011,0.006
F 79 L0.114,0.256,0.092,0.020,0.010,0.009,0.010,0.006
F 80 L0.137,0.263,0.081,0.021,0.010,0.009,0.011,0.006
F 81 L0.124,0.282,0.085,0.019,0.009,0.009,0.011,0.005
F 82 L0.114,0.250,0.089,0.019,0.010,0.009,0.010,0.005
F 83 L0.142,0.268,0.062,0.022,0.015,0.011,0.010,0.006
F 84 L0.236,0.286,0.085,0.022,0.012,0.009,0.010,0.006
F 85 L0.121,0.256,0.087,0.021,0.010,0.010,0.011,0.006
F 86 L0.131,0.251,0.085,0.019,0.010,0.009,0.010,0.006
F 87 L0.130,0.255,0.087,0.022,0.010,0.009,0.011,0.007
F 88 L0.121,0.267,0.077,0.020,0.011,0.009,0.011,0.006
F 89 L0.126,0.264,0.086,0.021,0.011,0.010,0.010,0.007
F 90 L0.221,0.310,0.094,0.025,0.012,0.010,0.010,0.006
F 91 L0.165,0.252,0.096,0.025,0.010,0.010,0.011,0.006
F 92 L0.092,0.244,0.099,0.025,0.010,0.010,0.010,0.006
F 93 L0.211,0.279,0.093,0.026,0.012,0.010,0.011,0.006
F 94 L0.132,0.242,0.090,0.025,0.014,0.011,0.010,0.005
F 95 L0.108,0.257,0.091,0.024,0.015,0.011,0.010,0.006
F 96 L0.299,0.258,0.049,0.015,0.010,0.007,0.005,0.004
F 97 L0.181,0.190,0.024,0.015,0.011,0.006,0.004,0.002
F 98 L0.204,0.151,0.027,0.019,0.014,0.009,0.005,0.003
F 99 L0.167,0.206,0.033,0.019,0.014,0.011,0.007,0.005
F 100 L0.221,0.365,0.062,0.017,0.012,0.008,0.010,0.006
F 101 L0.137,0.273,0.051,0.016,0.013,0.010,0.012,0.005
F 102 L0.156,0.279,0.050,0.017,0.012,0.009,0.010,0.005
F 103 L0.140,0.303,0.065,0.015,0.011,0.008,0.011,0.006
F 104 L0.145,0.285,0.049,0.016,0.013,0.010,0.011,0.005
F 105 L0.138,0.261,0.067,0.022,0.014,0.010,0.010,0.005
F 106 L0.081,0.194,0.102,0.029,0.014,0.011,0.011,0.006
F 107 L0.273,0.156,0.049,0.019,0.015,0.014,0.009,0.004
F 108 L0.335,0.196,0.096,0.023,0.014,0.012,0.010,0.005
F 109 L0.249,0.277,0.089,0.022,0.013,0.010,0.010,0.006
F 110 L0.129,0.264,0.083,0.020,0.010,0.010,0.011,0.006
F 111 L0.135,0.268,0.089,0.020,0.010,0.009,0.010,0.006
F 112 L0.137,0.273,0.093,0.021,0.011,0.009,0.011,0.007
F 113 L0.118,0.274,0.084,0.022,0.011,0.010,0.011,0.007
F 114 L0.132,0.268,0.081,0.019,0.011,0.009,0.010,0.006
F 115 L0.199,0.277,0.105,0.025,0.013,0.011,0.011,0.007
F 116 L0.247,0.266,0.093,0.027,0.012,0.009,0.010,0.006
F 117 L0.085,0.251,0.100,0.026,0.011,0.010,0.011,0.006
F 118 L0.111,0.261,0.100,0.025,0.012,0.010,0.011,0.007
F 119 L0.213,0.276,0.086,0.027,0.013,0.010,0.011,0.006
F 120 L0.118,0.252,0.095,0.028,0.015,0.011,0.011,0.006
F 121 L0.223,0.258,0.091,0.025,0.015,0.012,0.011,0.008
F 122 L0.385,0.101,0.015,0.006,0.006,0.004,0.003,0.001
F 123 L0.480,0.087,0.015,0.007,0.007,0.004,0.003,0.001
F 124 L0.365,0.084,0.014,0.007,0.006,0.003,0.002,0.001
F 125 L0.366,0.057,0.008,0.006,0.005,0.002,0.001,0.001
