F 75 L0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 76 L0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 77 L0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 78 L0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 79 L0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 80 L0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 81 L0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 82 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 83 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 84 L0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 85 L0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 86 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 87 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 88 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 89 L0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 90 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 91 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 92 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 93 L0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000
F 94 L0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000
F 95 L0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 96 L0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
F 97 L0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000
F 98 L0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000
F 99 L0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000
F 100 L0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000
F 101 L0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000
